strategy,task_id,task_name,p_true,num_repeats,p_pred_mean,p_pred_std,p_gen_mean,p_gen_std,p_pred_error_mean,p_pred_error_std,p_gen_error_mean,p_gen_error_std
zero_shot,union_of_components,Union-of-components,0.8,3,0.4333,0.1886,1.0000,0.0000,0.3667,0.1886,0.2000,0.0000
zero_shot_cot,motif_triangle,Motif-Triangle,0.2,3,0.3000,0.2449,0.7667,0.1886,0.2333,0.1247,0.5667,0.1886
zero_shot_cot,motif_triangle,Motif-Triangle,0.4,3,0.6000,0.1633,0.6667,0.4714,0.2000,0.1633,0.5333,0.0943
zero_shot_cot,motif_triangle,Motif-Triangle,0.6,3,0.6000,0.1633,0.7333,0.2055,0.1333,0.0943,0.2000,0.1414
zero_shot_cot,motif_triangle,Motif-Triangle,0.8,3,0.6000,0.3266,0.7000,0.4243,0.3333,0.1886,0.3667,0.2357
zero_shot_cot,trees_or_cycles,Trees-or-cycles,0.2,3,0.5000,0.3000,1.0000,0.0000,0.3000,0.3000,0.8000,0.0000
zero_shot_cot,trees_or_cycles,Trees-or-cycles,0.4,3,0.3000,0.1414,1.0000,0.0000,0.1000,0.1414,0.6000,0.0000
zero_shot_cot,trees_or_cycles,Trees-or-cycles,0.6,3,0.4333,0.0471,0.8667,0.1886,0.1667,0.0471,0.2667,0.1886
zero_shot_cot,trees_or_cycles,Trees-or-cycles,0.8,3,0.4000,0.0000,0.6667,0.4714,0.4000,0.0000,0.4000,0.2828
zero_shot_cot,union_of_components,Union-of-components,0.2,3,0.4740,0.3720,1.0000,0.0000,0.2740,0.3720,0.8000,0.0000
zero_shot_cot,union_of_components,Union-of-components,0.4,3,0.4000,0.0000,1.0000,0.0000,0.0000,0.0000,0.6000,0.0000
zero_shot_cot,union_of_components,Union-of-components,0.6,3,0.3333,0.1247,1.0000,0.0000,0.2667,0.1247,0.4000,0.0000
zero_shot_cot,union_of_components,Union-of-components,0.8,3,0.6700,0.2300,0.9000,0.1414,0.2300,0.1300,0.1667,0.0471
